DisplayName,AppId,ObjectId,ServicePrincipalType,AccountEnabled,CreatedDateTime,LastSignInDateTime,Owners,SignInAudience,HomepageURL,Tags,SecretExpiryDates,CertificateExpiryDates,ApiPermissions,AppRoleAssignments
"ProductsLifecycleApp","c09dc6d6-3bff-482b-8e40-68b3ad65f3fa","162a0af0-0363-4d5b-b415-f2404b5f7226","Application","true","2024-09-11","No sign-in found","App object not found","N/A","","","None","None","None","None"
"Diagnostic Services Data Access","3603eff4-9141-41d5-ba8f-02fb3a439cd6","172bd148-0d64-4faf-aa19-3a83350f6354","Application","true","2023-11-05","No sign-in found","App object not found","N/A","","GitCreatedApp; disableLegacyUserImpersonationResource; disableLegacyUserImpersonationClient","None","None","None","None"
"Microsoft App Access Panel","0000000c-0000-0000-c000-000000000000","177a50a6-4916-4ac6-a7b5-5400e2796517","Application","true","2017-05-05","No sign-in found","App object not found","N/A","","","None","None","None","None"
"SPAuthEvent","3340b944-b12e-47d0-b46b-35f08ec1d8ee","19baaab9-783a-45fe-b930-2dc9b34df76c","Application","true","2020-06-06","No sign-in found","App object not found","N/A","","","None","None","None","None"
"SQL Copilot PPE","0fc12b9a-5463-4b87-8f10-765fecb39990","1cbc9ac0-a2e5-4778-84bf-1d61bb1e7d76","Application","true","2024-03-07","No sign-in found","App object not found","N/A","","disableLegacyUserImpersonationClient; disableLegacyUserImpersonationResource; GitCreatedApp","None","None","None","None"
"People Profile Event Proxy","65c8bd9e-caac-4816-be98-0692f41191bc","1ecbe4a3-117b-4d8a-ae9d-bf1c753d7987","Application","true","2025-09-03","No sign-in found","App object not found","N/A","","disableLegacyUserImpersonationClient; disableLegacyUserImpersonationResource","None","None","None","None"
"Bot Service Resource Provider","e6650347-047f-4e51-9386-839384472ea5","1fdb10f6-8b6d-4885-b642-16a637fbb0be","Application","true","2025-07-17","No sign-in found","App object not found","N/A","","","None","None","None","None"
"O365 Secure Score","8b3391f4-af01-4ee8-b4ea-9871b2499735","2023a86f-91e0-473a-92d9-8a4df803b600","Application","true","2017-06-12","No sign-in found","App object not found","N/A","","","None","None","None","None"
"Microsoft Visio Data Visualizer","00695ed2-3202-4156-8da1-69f60065e255","2041b045-4fff-407d-9b3c-4e82eddb2932","Application","true","2020-06-06","No sign-in found","App object not found","N/A","","","None","None","None","None"
"IpAddressManager","60b2e7d5-a27f-426d-a6b1-acced0846fdf","20a947c4-5962-4a5c-b46a-0d31412c752e","Application","true","2023-10-20","No sign-in found","App object not found","N/A","","GitCreatedApp; disableLegacyUserImpersonationResource; disableLegacyUserImpersonationClient","None","None","None","None"
"WeveEngine","3c896ded-22c5-450f-91f6-3d1ef0848f6e","2105a75a-571f-4b37-9933-7a8a5a441b7f","Application","true","2025-09-20","No sign-in found","App object not found","N/A","","disableLegacyUserImpersonationResource; disableLegacyUserImpersonationClient","None","None","None","None"
"Managed Service","66c6d0d1-f2e7-4a18-97a9-ed10f3347016","21629ce0-0e4c-48ed-8062-76688c0d2a3e","Application","true","2025-07-17","No sign-in found","App object not found","N/A","","","None","None","None","None"
"myAKSCluster","97581cd9-8b5b-4deb-b800-1fda259865cf","2174152e-2fbe-4e93-b7e5-9dd7715a09d9","ManagedIdentity","true","2025-08-14","No sign-in found","Not an Application","N/A","","","None","None","None","None"
"OneNote","2d4d3d8e-2be3-4bef-9f87-7875a61c29de","21edbbf8-f1cb-4d36-b435-9932be223355","Application","true","2017-06-16","No sign-in found","App object not found","N/A","","","None","None","None","None"
"networkcopilotRP","d66e9e8e-53a4-420c-866d-5bb39aaea675","22c967f5-199a-4156-8649-d375dc3bf26b","Application","true","2024-08-16","No sign-in found","App object not found","N/A","","disableLegacyUserImpersonationClient; disableLegacyUserImpersonationResource; GitCreatedApp","None","None","None","None"
"Discovery Service","d29a4c00-4966-492a-84dd-47e779578fb7","241cd91f-e180-4f99-a306-a012bc1349d2","Application","true","2018-08-11","No sign-in found","App object not found","N/A","","","None","None","None","None"
"Microsoft.Relay","91bb937c-29c2-4275-982f-9465f0caf03d","2443ddc5-8c2c-416f-8b85-6e26c2ce56b0","Application","true","2020-06-28","No sign-in found","App object not found","N/A","","","None","None","None","None"
"Microsoft Teams Services","cc15fd57-2c6c-4117-a88c-83b1d56b4bbe","24b6c219-b625-490c-bce4-0a36383dca6f","Application","true","2017-06-12","No sign-in found","App object not found","N/A","","","None","None","None","None"
"AADReporting","1b912ec3-a9dd-4c4d-a53e-76aa7adb28d7","25d45054-3511-4440-b747-48ae457a9c48","Application","true","2021-07-15","No sign-in found","App object not found","N/A","","","None","None","None","None"
"Azure HDInsight Cluster API","7865c1d2-f040-46cc-875f-831a1ef6a28a","260acb81-cf6b-40af-81a5-966d18f124da","Application","true","2025-07-17","No sign-in found","App object not found","N/A","","","None","None","None","None"
"Azure API for DICOM","75e725bf-66ce-4cea-9b9a-5c4caae57f33","26ab3916-7c7c-46e2-8c2f-ff1907d94254","Application","true","2025-07-17","No sign-in found","App object not found","N/A","","","None","None","None","None"
"MicrosoftAzureActiveAuthn","0000001a-0000-0000-c000-000000000000","26b5ce29-763a-40d7-90a0-b0699ba55112","Application","true","2017-06-17","No sign-in found","App object not found","N/A","","","None","None","None","None"
"Microsoft Exact Data Match Service","273404b8-7ebc-4360-9f90-b40417f77b53","26ec2174-f52a-4d47-9240-9978a20329a9","Application","true","2019-04-04","No sign-in found","App object not found","N/A","","","None","None","None","None"
"Microsoft.SecurityDevOps Resource Provider","7bf610f7-ecaf-43a2-9dbc-33b14314d6fe","276f7993-e845-4665-a39d-992c8275b78a","Application","true","2023-08-06","No sign-in found","App object not found","N/A","","","None","None","None","None"
"Azure AD Identity Protection","fc68d9e5-1f76-45ef-99aa-214805418498","278fbdf2-dbfa-4e86-843b-b8a150a87135","Application","true","2017-05-18","No sign-in found","App object not found","N/A","","","None","None","None","None"
"MicrosoftEntraIDReputationManagementServices","81ca2f57-06b8-4597-9eee-ad8f700c5106","284ab721-3d0b-4c98-9715-463ce77d48b4","Application","true","2025-07-19","No sign-in found","App object not found","N/A","","disableLegacyUserImpersonationClient; disableLegacyUserImpersonationResource; GitCreatedApp","None","None","None","None"
"Narada Notification Service","51b5e278-ed7e-42c6-8787-7ff93e92f577","288bccad-f438-41bd-907b-b569f2367601","Application","true","2024-01-06","No sign-in found","App object not found","N/A","","disableLegacyUserImpersonationClient; disableLegacyUserImpersonationResource; GitCreatedApp","None","None","None","None"
"Hyper-V Recovery Manager","b8340c3b-9267-498f-b21a-15d5547fd85e","292865a5-134f-4fed-b23e-967ac7895ca6","Application","true","2017-05-05","No sign-in found","App object not found","N/A","","","None","None","None","None"
"Azure Cognitive Search","880da380-985e-4198-81b9-e05b1cc53158","29cdbc0f-deef-4d88-9d4f-a28ee10cd144","Application","true","2025-07-17","No sign-in found","App object not found","N/A","","disableLegacyUserImpersonationResource; disableLegacyUserImpersonationClient","None","None","None","None"
"Windows Store for Business","45a330b1-b1ec-4cc1-9161-9f03992aa49f","2a2045c8-0cb5-4f02-b521-34560ac5cae2","Application","true","2019-04-02","No sign-in found","App object not found","N/A","","","None","None","None","None"
"Azure Healthcare APIs Resource Provider","894b1496-c6e0-4001-b69c-81b327564ca4","2a3bb8de-dae1-4292-a34e-207cd8decd2a","Application","true","2025-07-17","No sign-in found","App object not found","N/A","","","None","None","None","None"
"Dynamics CRM Online Administration","637fcc9f-4a9b-4aaa-8713-a2a3cfda1505","2a62a60a-b5d0-41ae-a71d-4dd3c3a187f9","Application","true","2020-01-31","No sign-in found","App object not found","N/A","","","None","None","None","None"
"Azure Vmware Solutions RP Internal","abbab087-6193-40ef-a96c-6be85a5f43a0","2ac409e7-c7a9-4562-8e38-8d4eb257ae02","Application","true","2025-07-17","No sign-in found","App object not found","N/A","","disableLegacyUserImpersonationClient; disableLegacyUserImpersonationResource; GitCreatedApp","None","None","None","None"
"OCPS Checkin Service","23c898c1-f7e8-41da-9501-f16571f8d097","2b022a4b-8c74-4138-8fb4-1c9ca5de38bf","Application","true","2019-04-04","No sign-in found","App object not found","N/A","","","None","None","None","None"
"Microsoft Device Management Checkin","ca0a114d-6fbc-46b3-90fa-2ec954794ddb","2b367623-1034-40de-bcf2-3c10253774b1","Application","true","2020-06-06","No sign-in found","App object not found","N/A","","","None","None","None","None"
"TenantSearchProcessors","abc63b55-0325-4305-9e1e-3463b182a6dc","2bf6417d-7cfe-48b6-ada9-6235da34abb0","Application","true","2025-04-25","No sign-in found","App object not found","N/A","","disableLegacyUserImpersonationClient; disableLegacyUserImpersonationResource; GitCreatedApp","None","None","None","None"
"Microsoft Device Directory Service","8f41dc7c-542c-4bdd-8eb3-e60543f607ca","2c3f5ba6-494f-4348-9875-e374c3cee162","Application","true","2018-08-11","No sign-in found","App object not found","N/A","","","None","None","None","None"
"Databricks Resource Provider","d9327919-6775-4843-9037-3fb0fb0473cb","2e4c3e8e-d1fe-470d-91ae-ba344fdec607","Application","true","2025-07-17","No sign-in found","App object not found","N/A","","","None","None","None","None"
"Azure Container Registry - Dataplane","a3747411-ce7c-4888-9ddc-3a230786ca19","2ebaa887-df40-4716-97d5-a8bff9887547","Application","true","2025-07-17","No sign-in found","App object not found","N/A","","","None","None","None","None"
"Office 365 Import Service","3eb95cef-b10f-46fe-94e0-969a3d4c9292","2f969f92-1226-41da-a9d3-8fb32f786cbe","Application","true","2019-01-28","No sign-in found","App object not found","N/A","","","None","None","None","None"
"Azure Portal","c44b4083-3bb0-49c1-b47d-974e53cbdf3c","2fbba057-469e-4e36-b663-78e950e058ca","Application","true","2017-05-05","No sign-in found","App object not found","N/A","","","None","None","None","None"
"Azure AD Connector - PowerApps and Flow","2bed6734-1911-40e6-ac44-00d79d70d2bc","3099e953-65ef-4625-b518-0e3c0a193411","Application","true","2017-11-20","No sign-in found","App object not found","N/A","","WindowsAzureActiveDirectoryIntegratedApp","None","None","Resource: 10f06858-e515-4173-a2de-4d882e6ff75d | Scope:  Directory.ReadWrite.All Group.ReadWrite.All User.ReadWrite.All offline_access","None"
"Common Data Service User Management","c92229fa-e4e7-47fc-81a8-01386459c021","30d7a7b5-237d-49d1-9e67-f4e95af814d5","Application","true","2020-06-06","No sign-in found","App object not found","N/A","","","None","None","None","None"
"Teams Approvals","3e050dd7-7815-46a0-8263-b73168a42c10","3100a096-c550-4453-a6bf-8038f2d466a0","Application","true","2020-06-06","No sign-in found","App object not found","N/A","","","None","None","None","None"
