"DisplayName","AppId","ObjectId","ServicePrincipalType","AccountEnabled","CreatedDateTime","LastSignInDateTime","Owners","SignInAudience","HomepageURL","Tags","SecretExpiryDates","CertificateExpiryDates","ApiPermissions","AppRoleAssignments"
"Microsoft Threat Protection","8ee8fdad-f234-4243-8f3b-15c294843740","ccc856cd-1f6d-4782-be54-e7e21a152752","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"Microsoft Customer Engagement Portal","71234da4-b92f-429d-b8ec-6e62652e50d7","cde90f0a-989c-4076-88f8-34419d74909e","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"CloudynAzureCollector","83e638ef-7885-479f-bbe8-9150acccdb3d","cf25b229-de59-415f-9f6f-8dc9f5beb8b4","Application","True","Unknown","No sign-in found","App object not found","N/A","https://azureeaaccount1cloudyn.onmicrosoft.com/cloudynazurecollector","WindowsAzureActiveDirectoryIntegratedApp","None","None","Resource: 88c8e130-982d-4b10-aa5e-f16e4ca6d1a9 | Scope: User.Read; Resource: 74ec764b-5c4b-4c4f-898b-7a969202f767 | Scope: user_impersonation","None"
"Azure Key Vault","cfa8b339-82a2-471a-a3c9-0fc0be7a4093","cfb48f02-0279-4de7-b00f-8d2d9a5dfaf3","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"Azure Service Connector Resource Provider","c4288165-6698-45ba-98a5-48ea7791fed3","d07c7927-19f3-463a-94de-6cbfce93d97d","Application","True","Unknown","No sign-in found","App object not found","N/A",,"disableLegacyUserImpersonationResource; disableLegacyUserImpersonationClient","None","None","None","None"
"Microsoft Teams Shifts","aa580612-c342-4ace-9055-8edee43ccb89","d0f0297b-e26e-476a-a985-98377e0ce449","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"Intune DiagnosticService","7f0d9978-eb2a-4974-88bd-f22a3006fe17","d13524ab-b84e-4174-b6fa-2de28fedbf31","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"Power Query Online GCC-L2","939fe80f-2eef-464f-b0cf-705d254a2cf2","d2a6815d-c890-4c74-9743-fc581ed9e44e","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"Microsoft Mixed Reality","c7ddd9b4-5172-4e28-bd29-1e0792947d18","d2c85aa1-84b0-4fd8-942f-a4042aae0abf","Application","True","Unknown","No sign-in found","App object not found","N/A",,"disableLegacyUserImpersonationResource; disableLegacyUserImpersonationClient","None","None","None","None"
"AzNet Security Guard","38808189-fa7a-4d8a-807f-eba01edacca6","d31afc4d-5e94-42c1-b54b-25cf8bc310d0","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"Azure Machine Learning OpenAI","61c50b89-703d-431d-8d80-1e8618748775","d36bc67b-4385-486c-a0b1-063eabfaaf2d","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"Azure Multi-Factor Auth Connector","1f5530b3-261a-47a9-b357-ded261e17918","d5d13b71-bd55-432e-bcc7-38914fea638f","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"MicrosoftGuestConfiguration","e935b4a5-8968-416d-8414-caed51c782a9","d701c33b-2522-4bcc-ba6c-4a37eec4bb23","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"Fiji Storage","1609d3a1-0db2-4818-b854-fe1614f0718a","d7437e8c-dacc-43ba-ab44-b3c2a6fc5c64","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"Azure Data Factory","5d13f7d7-0567-429c-9880-320e9555e5fc","d8a7677e-f64d-4566-bffb-4b4e203fe536","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"Azure Application Change Service","2cfc91a4-7baa-4a8f-a6c9-5f3d279060b8","d8eb267a-9f08-4bf6-8ebb-be4e5c014e85","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"Azure Container Registry","6a0ec4d3-30cb-4a83-91c0-ae56bc0e3d26","d915076b-9875-4c46-8eda-3d7fbf0ae320","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"PowerApps-Advisor","c9299480-c13a-49db-a7ae-cdfe54fe0313","d933570f-7dbf-43e1-a99b-2a5004e39e10","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"AzureDnsFrontendApp","a0be0c72-870e-46f0-9c49-c98333a996f7","db6a1dfc-3376-4c0b-a220-05ba6c589898","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
"Bot Framework Composer","ce48853e-0605-4f77-8746-d70ac63cc6bc","db7e77c6-3204-4cd0-a81f-1364b3698b08","Application","True","Unknown","No sign-in found","App object not found","N/A",,"","None","None","None","None"
